Mark,Manu,Type,Model,Serial,MTOW,engnum,Engmanu,Engtype,Engmodel,Fueltype,regType,regholdname,regholdadd1,regholdadd2,regholdSuburb,regholdState,regholdPostcode,regholdCountry,regholdCommdate,regopName,regopadd1,regopadd2,regopSuburb,regopState,regopPostcode,regopCountry,regopCommdate,Datefirstreg,gear,Airframe,CoAcata,CoAcatb,CoAcatc,Propmanu,Propmodel,Typecert,Countrymanu,Yearmanu,Regexpirydate,suspendstatus,suspenddate,ICAOtypedesig,IDERA_Authorised_Party,IDERA_Certified_Designee
ULD,AIRBUS INDUSTRIE,,A321-231,835,93000,2,INTERNATIONAL AERO ENGINES,Turbofan,V2533-A5,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,8-Oct-20,EXPRESS FREIGHTERS AUSTRALIA PTY LIMITED,C/o QCA1,10 Bourke Rd,MASCOT,NSW,2020,Australia,8-Oct-20,8-Oct-20,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,EASA.A.064,Germany,1998,,,,A321,,
ULW,AIRBUS INDUSTRIE,,A321-231,1195,89000,2,INTERNATIONAL AERO ENGINES,Turbofan,V2533-A5,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,20-Sep-16,EXPRESS FREIGHTERS AUSTRALIA PTY LIMITED,C/o QCA1,10 Bourke Rd,MASCOT,NSW,2020,Australia,11-Aug-21,8-May-08,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,A.064,France,2000,,,,A321,,
ULY,AIRBUS INDUSTRIE,,A321-231,1408,89000,2,INTERNATIONAL AERO ENGINES,Turbofan,V2533-A5,Kerosene,Full Registration,KEYSTONE 1 LIMITED,"Bldg 6002    Taylors End, Stansted Airport",,STANSTED,ESSEX,CM24 1RL,United Kingdom,6-Apr-16,EXPRESS FREIGHTERS AUSTRALIA PTY LIMITED,C/o QCA1,10 Bourke Rd,MASCOT,NSW,2020,Australia,1-Mar-22,26-Mar-08,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,A.064,France,2001,,,,A321,,
UVJ,AIRBUS,,A320-232,2356,77000,2,INTERNATIONAL AERO ENGINES,Turbofan,V2527-A5,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,24-Mar-21,NETWORK AVIATION PTY LTD,PO Box 136,,BELMONT,WA,6984,Australia,24-Mar-21,24-Mar-21,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,EASA.A.064,France,2005,,,,A320,,
UVK,AIRBUS INDUSTRIE,,A320-232,2316,77000,2,INTERNATIONAL AERO ENGINES,Turbofan,V2527-A5,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,11-Dec-20,NETWORK AVIATION PTY LTD,PO Box 136,,BELMONT,WA,6984,Australia,11-Dec-20,11-Dec-20,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,TACA31,France,2004,,,,A320,,
UVO,AIRBUS INDUSTRIE,,A320-232,2453,77000,2,INTERNATIONAL AERO ENGINES,Turbofan,V2527-A5,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,19-Oct-20,NETWORK AVIATION PTY LTD,PO Box 136,,BELMONT,WA,6984,Australia,19-Oct-20,18-Dec-07,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,TACA31,France,2005,,,,A320,,
UVP,AIRBUS INDUSTRIE,,A320-232,2604,77000,2,INTERNATIONAL AERO ENGINES,Turbofan,V2527-A5,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,15-Dec-20,NETWORK AVIATION PTY LTD,PO Box 136,,BELMONT,WA,6984,Australia,15-Dec-20,3-Feb-06,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,TACA31,France,2005,,,,A320,,
UVQ,AIRBUS INDUSTRIE,,A320-232,2423,73500,2,INTERNATIONAL AERO ENGINES,Turbofan,V2527-A5,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,22-Mar-18,NETWORK AVIATION PTY LTD,PO Box 136,,BELMONT,WA,6984,Australia,7-Jun-21,21-Nov-07,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,EASA.A.064,France,2005,,,,A320,NATIONAL AUSTRALIA BANK LIMITED,
VFD,AIRBUS INDUSTRIE,,A320-232,4922,73500,2,INTERNATIONAL AERO ENGINES,Turbofan,V2527-A5,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,28-Nov-11,JETSTAR AIRWAYS PTY LIMITED,79 Victoria Pde,,COLLINGWOOD,VIC,3066,Australia,28-Nov-11,28-Nov-11,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,TACA31,France,2011,,,,A320,NATIONAL AUSTRALIA BANK LIMITED,
VFF,AIRBUS INDUSTRIE,,A320-232,5039,77000,2,INTERNATIONAL AERO ENGINES,Turbofan,V2527-A5,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,13-Feb-12,JETSTAR AIRWAYS PTY LIMITED,79 Victoria Pde,,COLLINGWOOD,VIC,3066,Australia,13-Feb-12,13-Feb-12,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,TACA31,France,2012,,,,A320,,
VFH,AIRBUS INDUSTRIE,,A320-232,5211,73500,2,INTERNATIONAL AERO ENGINES,Turbofan,V2527-A5,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,14-Jun-12,JETSTAR AIRWAYS PTY LIMITED,79 Victoria Pde,,COLLINGWOOD,VIC,3066,Australia,14-Jun-12,14-Jun-12,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,TACA31,France,2012,,,,A320,NATIONAL AUSTRALIA BANK LIMITED,
VFI,AIRBUS INDUSTRIE,,A320-232,5270,77000,2,INTERNATIONAL AERO ENGINES,Turbofan,V2527-A5,Kerosene,Full Registration,BOC AVIATION (USA) CORPORATION,C/- BOC Aviation Limited,8 Shenton Way #18-01,SINGAPORE,,68811,Singapore,23-Aug-12,JETSTAR AIRWAYS PTY LIMITED,79 Victoria Pde,,COLLINGWOOD,VIC,3066,Australia,23-Aug-12,23-Aug-12,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,EASA.A.064,France,2012,,,,A320,,
VFJ,AIRBUS INDUSTRIE,,A320-232,5311,77000,2,INTERNATIONAL AERO ENGINES,Turbofan,V2527-A5,Kerosene,Full Registration,BOC AVIATION (USA) CORPORATION,C/- BOC Aviation Limited,8 Shenton Way #18-01,SINGAPORE,,68811,Singapore,28-Sep-12,JETSTAR AIRWAYS PTY LIMITED,79 Victoria Pde,,COLLINGWOOD,VIC,3066,Australia,28-Sep-12,28-Sep-12,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,EASA.A.064,France,2012,,,,A320,,
VFK,AIRBUS INDUSTRIE,,A320-232,5334,77000,2,INTERNATIONAL AERO ENGINES,Turbofan,V2527-A5,Kerosene,Full Registration,BOC AVIATION (USA) CORPORATION,C/- BOC Aviation Limited,8 Shenton Way #18-01,SINGAPORE,,68811,Singapore,28-Sep-12,JETSTAR AIRWAYS PTY LIMITED,79 Victoria Pde,,COLLINGWOOD,VIC,3066,Australia,28-Sep-12,28-Sep-12,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,EASA.A.064,France,2012,,,,A320,,
VFL,AIRBUS INDUSTRIE,,A320-232,5489,73500,2,INTERNATIONAL AERO ENGINES,Turbofan,V2527-A5,Kerosene,Full Registration,MACQUARIE AIRFINANCE ACQUISITIONS (UK) LIMITED,Macquarie Aircraft Leasing Services (UK) Limited,28 RopemakerSt,LONDON,,EC2Y 9HD,United Kingdom,4-Mar-16,JETSTAR AIRWAYS PTY LIMITED,79 Victoria Pde,,COLLINGWOOD,VIC,3066,Australia,4-Mar-16,25-Jan-13,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,TACA31,France,2013,,,,A320,,
VFN,AIRBUS INDUSTRIE,,A320-232,5566,73500,2,INTERNATIONAL AERO ENGINES,Turbofan,V2527-A5,Kerosene,Full Registration,BOC AVIATION (USA) CORPORATION,C/- BOC Aviation Limited,8 Shenton Way #18-01,SINGAPORE,,68811,Singapore,12-Mar-13,JETSTAR AIRWAYS PTY LIMITED,79 Victoria Pde,,COLLINGWOOD,VIC,3066,Australia,12-Mar-13,12-Mar-13,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,TACA31,France,2013,,,,A320,,
VFO,AIRBUS INDUSTRIE,,A320-232,5631,73500,2,INTERNATIONAL AERO ENGINES,Turbofan,V2527-A5,Kerosene,Full Registration,BOC AVIATION (USA) CORPORATION,C/- BOC Aviation Limited,8 Shenton Way #18-01,SINGAPORE,,68811,Singapore,21-May-13,JETSTAR AIRWAYS PTY LIMITED,79 Victoria Pde,,COLLINGWOOD,VIC,3066,Australia,21-May-13,21-May-13,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,TACA31,France,2013,,,,A320,,
VFP,AIRBUS INDUSTRIE,,A320-232,5775,77000,2,INTERNATIONAL AERO ENGINES,Turbofan,V2527-A5,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,19-Aug-13,JETSTAR AIRWAYS PTY LIMITED,79 Victoria Pde,,COLLINGWOOD,VIC,3066,Australia,19-Aug-13,19-Aug-13,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,TACA31,France,2013,,,,A320,NATIONAL AUSTRALIA BANK LIMITED,
VFQ,AIRBUS INDUSTRIE,,A320-232,5780,73500,2,INTERNATIONAL AERO ENGINES,Turbofan,V2527-A5,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,19-Aug-13,JETSTAR AIRWAYS PTY LIMITED,79 Victoria Pde,,COLLINGWOOD,VIC,3066,Australia,19-Aug-13,19-Aug-13,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,TACA31,France,2013,,,,A320,NATIONAL AUSTRALIA BANK LIMITED,
VFT,AIRBUS INDUSTRIE,,A320-232,5532,73500,2,INTERNATIONAL AERO ENGINES,Turbofan,V2527-A5,Kerosene,Full Registration,BOC AVIATION (USA) CORPORATION,C/- BOC Aviation Limited,8 Shenton Way #18-01,SINGAPORE,,68811,Singapore,20-Sep-13,JETSTAR AIRWAYS PTY LIMITED,79 Victoria Pde,,COLLINGWOOD,VIC,3066,Australia,20-Sep-13,20-Sep-13,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,TACA31,France,2013,,,,A320,,
VFU,AIRBUS INDUSTRIE,,A320-232,5814,73500,2,INTERNATIONAL AERO ENGINES,Turbofan,V2527-A5,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,1-Oct-13,JETSTAR AIRWAYS PTY LIMITED,79 Victoria Pde,,COLLINGWOOD,VIC,3066,Australia,1-Oct-13,1-Oct-13,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,TACA31,France,2013,,,,A320,NATIONAL AUSTRALIA BANK LIMITED,
VFV,AIRBUS INDUSTRIE,,A320-232,5858,77000,2,INTERNATIONAL AERO ENGINES,Turbofan,V2527-A5,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,18-Nov-13,JETSTAR AIRWAYS PTY LIMITED,79 Victoria Pde,,COLLINGWOOD,VIC,3066,Australia,18-Nov-13,18-Nov-13,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,TACA31,France,2013,,,,A320,NATIONAL AUSTRALIA BANK LIMITED,
VFX,AIRBUS INDUSTRIE,,A320-232,5871,77000,2,INTERNATIONAL AERO ENGINES,Turbofan,V2527-A5,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,18-Nov-13,JETSTAR AIRWAYS PTY LIMITED,79 Victoria Pde,,COLLINGWOOD,VIC,3066,Australia,18-Nov-13,18-Nov-13,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,TACA31,France,2013,,,,A320,,
VFY,AIRBUS INDUSTRIE,,A320-232,6362,77000,2,INTERNATIONAL AERO ENGINES,Turbofan,V2527-A5,Kerosene,Full Registration,WELLINGTON LEASING NO. 50 LIMITED,2nd Floor,Herbert Park Lane,BALLSBRIDGE,DUBLIN 4,.,Ireland,20-Jul-22,JETSTAR AIRWAYS PTY LIMITED,79 Victoria Pde,,COLLINGWOOD,VIC,3066,Australia,20-Jul-22,7-Nov-14,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,TACA31,France,2014,,,,A320,,
VGA,AIRBUS INDUSTRIE,,A320-232,4899,77000,2,INTERNATIONAL AERO ENGINES,Turbofan,V2527-A5,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,20-Oct-11,JETSTAR AIRWAYS PTY LIMITED,79 Victoria Pde,,COLLINGWOOD,VIC,3066,Australia,20-Oct-11,20-Oct-11,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,EASA.A.064,France,2011,,,,A320,NATIONAL AUSTRALIA BANK LIMITED,
VGD,AIRBUS INDUSTRIE,,A320-232,4527,77000,2,INTERNATIONAL AERO ENGINES,Turbofan,V2527-A5,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,27-Nov-17,JETSTAR AIRWAYS PTY LIMITED,79 Victoria Pde,,COLLINGWOOD,VIC,3066,Australia,27-Nov-17,12-Nov-10,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,TACA31,France,2010,,,,A320,NATIONAL AUSTRALIA BANK LIMITED,
VGF,AIRBUS INDUSTRIE,,A320-232,4497,73500,2,INTERNATIONAL AERO ENGINES,Turbofan,V2527-A5,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,7-Dec-16,JETSTAR AIRWAYS PTY LIMITED,79 Victoria Pde,,COLLINGWOOD,VIC,3066,Australia,7-Dec-16,12-Nov-10,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,TACA31,France,2010,,,,A320,NATIONAL AUSTRALIA BANK LIMITED,
VGH,AIRBUS INDUSTRIE,,A320-232,4495,73500,2,INTERNATIONAL AERO ENGINES,Turbofan,V2527-A5,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,25-Nov-16,JETSTAR AIRWAYS PTY LIMITED,79 Victoria Pde,,COLLINGWOOD,VIC,3066,Australia,25-Nov-16,3-Nov-10,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,TACA31,France,2010,,,,A320,NATIONAL AUSTRALIA BANK LIMITED,
VGI,AIRBUS INDUSTRIE,,A320-232,4466,77000,2,INTERNATIONAL AERO ENGINES,Turbofan,V2527-A5,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,27-Nov-17,JETSTAR AIRWAYS PTY LIMITED,79 Victoria Pde,,COLLINGWOOD,VIC,3066,Australia,27-Nov-17,30-Sep-10,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,TACA31,France,2010,,,,A320,NATIONAL AUSTRALIA BANK LIMITED,
VGJ,AIRBUS INDUSTRIE,,A320-232,4460,77000,2,INTERNATIONAL AERO ENGINES,Turbofan,V2527-A5,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,2-Jan-18,JETSTAR AIRWAYS PTY LIMITED,79 Victoria Pde,,COLLINGWOOD,VIC,3066,Australia,2-Jan-18,5-Oct-10,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,TACA31,France,2010,,,,A320,NATIONAL AUSTRALIA BANK LIMITED,
VGN,AIRBUS INDUSTRIE,,A320-232,4434,73500,2,INTERNATIONAL AERO ENGINES,Turbofan,V2527-A5,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,12-Oct-16,JETSTAR AIRWAYS PTY LIMITED,79 Victoria Pde,,COLLINGWOOD,VIC,3066,Australia,12-Oct-16,10-Sep-10,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,TACA31,France,2010,,,,A320,NATIONAL AUSTRALIA BANK LIMITED,
VGO,AIRBUS INDUSTRIE,,A320-232,4356,73500,2,INTERNATIONAL AERO ENGINES,Turbofan,V2527-A5,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,16-Jun-10,JETSTAR AIRWAYS PTY LIMITED,79 Victoria Pde,,COLLINGWOOD,VIC,3066,Australia,16-Jun-10,16-Jun-10,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,TACA31,France,2010,,,,A320,NATIONAL AUSTRALIA BANK LIMITED,
VGP,AIRBUS INDUSTRIE,,A320-232,4343,77000,2,INTERNATIONAL AERO ENGINES,Turbofan,V2527-A5,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,27-Nov-17,JETSTAR AIRWAYS PTY LIMITED,79 Victoria Pde,,COLLINGWOOD,VIC,3066,Australia,27-Nov-17,16-Jun-10,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,TACA31,France,2010,,,,A320,NATIONAL AUSTRALIA BANK LIMITED,
VGQ,AIRBUS INDUSTRIE,,A320-232,4303,73500,2,INTERNATIONAL AERO ENGINES,Turbofan,V2527-A5,Kerosene,Full Registration,"UMB BANK, NATIONAL ASSOCIATION",6440 S Millrock Dr Suite 400,,Salt Lake City,UT,84121,United States of America,25-Aug-21,JETSTAR AIRWAYS PTY LIMITED,79 Victoria Pde,,COLLINGWOOD,VIC,3066,Australia,25-Aug-21,13-May-10,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,TACA31,France,2010,,,,A320,,
VGR,AIRBUS INDUSTRIE,,A320-232,4257,73500,2,INTERNATIONAL AERO ENGINES,Turbofan,V2527-A5,Kerosene,Full Registration,"WILMINGTON TRUST COMPANY, AS TRUSTEE FOR MACQUARIE AEROSPACE FINANCE 4257 TRUST",1100 North Market Street,,WILMINGTON,DELAWARE,19890,United States of America,12-Oct-11,JETSTAR AIRWAYS PTY LIMITED,79 Victoria Pde,,COLLINGWOOD,VIC,3066,Australia,12-Oct-11,1-Apr-10,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,TACA31,France,2010,,,,A320,,
VGT,AIRBUS INDUSTRIE,,A320-232,4178,73500,2,INTERNATIONAL AERO ENGINES,Turbofan,V2527-A5,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,29-Jan-16,JETSTAR AIRWAYS PTY LIMITED,79 Victoria Pde,,COLLINGWOOD,VIC,3066,Australia,29-Jan-16,21-Jan-10,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,TACA31,France,2010,,,,A320,NATIONAL AUSTRALIA BANK LIMITED,
VGU,AIRBUS INDUSTRIE,,A320-232,4245,77000,2,INTERNATIONAL AERO ENGINES,Turbofan,V2527-A5,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,8-Apr-16,JETSTAR AIRWAYS PTY LIMITED,79 Victoria Pde,,COLLINGWOOD,VIC,3066,Australia,8-Apr-16,23-Feb-10,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,TACA31,France,2010,,,,A320,NATIONAL AUSTRALIA BANK LIMITED,
VGV,AIRBUS INDUSTRIE,,A320-232,4229,73500,2,INTERNATIONAL AERO ENGINES,Turbofan,V2527-A5,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,3-Mar-16,JETSTAR AIRWAYS PTY LIMITED,79 Victoria Pde,,COLLINGWOOD,VIC,3066,Australia,3-Mar-16,23-Feb-10,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,TACA31,France,2010,,,,A320,NATIONAL AUSTRALIA BANK LIMITED,
VGY,AIRBUS INDUSTRIE,,A320-232,4177,73500,2,INTERNATIONAL AERO ENGINES,Turbofan,V2527-A5,Kerosene,Full Registration,QANTAS AIRWAYS LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,17-Feb-16,JETSTAR AIRWAYS PTY LIMITED,79 Victoria Pde,,COLLINGWOOD,VIC,3066,Australia,17-Feb-16,27-Jan-10,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,TACA31,France,2010,,,,A320,NATIONAL AUSTRALIA BANK LIMITED,
VGZ,AIRBUS INDUSTRIE,,A320-232,3917,73500,2,INTERNATIONAL AERO ENGINES,Turbofan,V2527-A5,Kerosene,Full Registration,SMBC AVIATION CAPITAL (UK) LIMITED,C/- SMBC Aviation Capital,,DUBLIN,,Dublin 1,Ireland,16-Feb-19,JETSTAR AIRWAYS PTY LIMITED,79 Victoria Pde,,COLLINGWOOD,VIC,3066,Australia,16-Feb-19,27-May-09,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,TACA31,France,2009,,,,A320,,
VKA,THE BOEING COMPANY,,787-8,36227,227930,2,GENERAL ELECTRIC COMPANY,Turbofan,GENX-1B 70K,Kerosene,Full Registration,SL JURA CO. LTD.,2-4-3 Nihonbashi-muromachi,,CHUO-KU,TOKYO,103-8318,Japan,8-Oct-13,JETSTAR AIRWAYS PTY LIMITED,79 Victoria Pde,,COLLINGWOOD,VIC,3066,Australia,8-Oct-13,30-Aug-13,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,T00021SE,United States of America,2013,,,,B788,,
VKB,THE BOEING COMPANY,,787-8,36228,227930,2,GENERAL ELECTRIC COMPANY,Turbofan,GENX-1B64/P2G01,Kerosene,Full Registration,TLC LOTUS LTD.,3 Kanda-neribeicho Chiyoda-ku,,TOKYO,,101-0022,Japan,8-Jan-14,JETSTAR AIRWAYS PTY LIMITED,79 Victoria Pde,,COLLINGWOOD,VIC,3066,Australia,8-Jan-14,15-Oct-13,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,T00021SE,United States of America,2013,,,,B788,,
VKD,THE BOEING COMPANY,,787-8,36229,227930,2,GENERAL ELECTRIC COMPANY,Turbofan,GENX-1B64,Kerosene,Full Registration,"SL DEVON CO., LTD.",1-4-14 Koraku ,,BUNKYO-KU,TOKYO,112-8574,Japan,22-Apr-14,JETSTAR AIRWAYS PTY LIMITED,79 Victoria Pde,,COLLINGWOOD,VIC,3066,Australia,22-Apr-14,24-Oct-13,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,T00021SE,United States of America,2013,,,,B788,,
VKE,THE BOEING COMPANY,,787-8,36230,227930,2,GENERAL ELECTRIC COMPANY,Turbofan,GENX-1B64/P2G01,Kerosene,Full Registration,"WALLABY LEASING CO., LTD.","1-3-2 Marunouchi, Chiyoda-ku",,TOKYO,,100-8287,Japan,5-May-14,JETSTAR AIRWAYS PTY LIMITED,79 Victoria Pde,,COLLINGWOOD,VIC,3066,Australia,5-May-14,17-Feb-14,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,T00021SE,United States of America,2014,,,,B788,,
VKF,THE BOEING COMPANY,,787-8,36231,227930,2,GENERAL ELECTRIC COMPANY,Turbofan,GENX-1B64/P2G01,Kerosene,Full Registration,QF EXIM B787 NO. 2 PTY LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,4-Jul-14,JETSTAR AIRWAYS PTY LIMITED,79 Victoria Pde,,COLLINGWOOD,VIC,3066,Australia,4-Jul-14,16-May-14,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,T00021SE,United States of America,2014,,,,B788,,
VKG,THE BOEING COMPANY,,787-8,36232,277930,2,GENERAL ELECTRIC COMPANY,Turbofan,GEnx-1B70/P2G01,Kerosene,Full Registration,QF EXIM B787 NO. 2 PTY LIMITED,10 Bourke Rd,,MASCOT,NSW,2020,Australia,5-Sep-14,JETSTAR AIRWAYS PTY LIMITED,79 Victoria Pde,,COLLINGWOOD,VIC,3066,Australia,5-Sep-14,16-May-14,,Power Driven Aeroplane,Active (Transport),,,AIRCRAFT NOT FITTED WITH PROPELLER,NOT APPLICABLE,T00021SE,United States of America,2014,,,,B788,,
